# GENERADO por 'python tools/extract_glossaries.py' desde los glosarios oficiales en PDF.
# No editar a mano: lo que haya que corregir o fijar va en glossary.tsv, que tiene prioridad.
# Columnas: inglés	español	marcas (b = glosario oficial de un libro)	libro	usos en el mod
Clurichaun	Clurichaun, pl. Clurichaun	b	C20	3
Confessor	Confesor	b	W20	3
Croatan	Croatanos	b	H20	3
Danika Ruthven	Danika Ruthven	b	V20	3
Deathlord	Señor de la Muerte	b	W20	3
Derech Chaim	Derech Chaim	b	VEO20	3
Dervish	Derviche	b	V20	3
Eaters of the Dead	Devoradores de los Muertos	b	H20	3
Eirik Longtooth	Eirik Dientelargo	b	VEO20	3
Empire of Dolls	Imperio de las Muñecas	b	C20	3
Empire of Seeds	Imperio de las Semillas	b	C20	3
Empire of Tears	Imperio de las Lágrimas	b	C20	3
Entelechy	Entelequia	b	M20	3
Eye of the Storm	Ojo de la Tormenta	b	V20	3
Far Dreaming	Ensueño Lejano	b	C20	3
field of expertise	campo de especialización	b	VEO20	3
Fomarch	Fomarca	b	H20	3
FUBAR	JYTI	b	C20	3
Gospel of Laodice	Evangelio de Laodice	b	V20	3
Grandchildren of Fionn	Nietos de Fionn	b	H20	3
Gray Man	Hombre Gris	b	H20	3
Gunter Sorenson	Gunter Sorenson	b	C20	3
Gunther	Gunther​	b	V20	3
hedge magician	mago estático	b	M20	3
High Umbra	Umbra Alta	b	H20	3
House Daireann	Casa Daireann	b	C20	3
House Danaan	Casa Danaan	b	C20	3
Hypatia	Hipatia	b	V20	3
Hyperion	Hiperión	b	H20	3
Isle of Eurydice	Isla de Eurídice	b	W20	3
Jade Emperor	Emperador de Jade	b	W20	3
Jade Talisman	Talismán de Jade	b	C20	3
Journeymen	Oficial	b	V20	3
Kairouan Brotherhood	Hermandad Kairuán	b	V20	3
Kingdom of the Dead	Reino de los Muertos	b	M20	3
Kuberas	Kúberas	b	C20	3
Lambach Ruthven	Lambach Ruthven	b	V20	3
Library of the Forgotten	Biblioteca de los Olvidados	b	V20	3
Long Slumber	Largo Reposo	b	C20	3
major ward	guarda mayor	b	M20	3
Malakai	Malakai​	b	V20	3
Martial Training	Entrenamiento Marcial	b	VEO20	3
Mastery of the Mortal Shell	Dominio de la Cáscara Mortal	b	V20	3
Messianic Voices	Voces Mesiánicas	b	M20	3
Moon Bridge	Puente Lunar	b	H20	3
Nahum ben Enosh	Nahum ben Enosh	b	V20	3
Necropoli	Necropolis	b	M20	3
Nkulu Zao	Nkulu Zao	b	V20	3
Oath of Guardianship	Juramento de Custodia	b	C20	3
On Hunger and Its Satisfaction	Del Ansia y su satisfacción	b	VEO20	3
Parasite	Parásito	b	C20	3
Parliament of Dreams	Parlamento de los Sueños	b	C20	3
Pathfinder	Explorador	b	C20	3
Pattern Breaker	Destructor de Patrones	b	H20	3
Paul Bathalos	Paul Bathalos	b	VEO20	3
primary path	Senda Primaria	b	V20	3
Rafael de Corazon	Rafael de Corazón	b	V20	3
Rat Finks	Ratas Soplonas	b	H20	3
Red King	Rey Rojo	b	C20	3
Sargon Fragment	Fragmento de Sargón	b	V20	3
Scan	Otear	b	M20	3
Sense of Justice	Sentido de la Justicia	b	H20	3
sept leader	Líder de Clan	b	H20	3
Shroudripper	Rasgamantos	b	W20	3
Skeletal Lord	Señor Esquelético	b	W20	3
Smiling Lord	Señor Sonriente	b	W20	3
Spirit Speech	habla espiritual	b	C20	3
The Path of Blood	Senda de la Sangre	b	V20	3
Thomas Feroux	Thomas Feroux	b	V20	3
Toad	Sapo	b	H20	3
Trash	Basura	b	V20	3
Tuatha de Fionn	Tuatha de Fionn	b	H20	3
Typhoid	Tifoideo	b	C20	3
Veinous Stair	Escalera Venosa	b	W20	3
Via Dolorosa	Via Dolorosa	b	VEO20	3
Via Mutationis	Via Mutationis	b	VEO20	3
Via Necromantiae	Via Necromantiae	b	V20	3
Via Yasaq	Via Yasaq	b	VEO20	3
War Party	Partida de Guerra	b	V20	3
Warrior Setites	Guerreros Setitas	b	V20	3
Way of the Artisan	Senda del Artesano	b	W20	3
Way of the Farmer	Senda del Granjero	b	W20	3
Way of the Merchant	Senda del Mercader	b	W20	3
Way of the Scholar	Senda del Erudito	b	W20	3
Way of the Soul	Senda del Alma	b	W20	3
Weaver Reaches	Límites de la Tejedora	b	H20	3
Wu Keng	Wu Keng	b	M20	3
Wyld Reaches	Límites Kaóticos	b	H20	3
Wyrm Reaches	Límites Wyrmianos	b	H20	3
Xi Dundu	Xi Dundu	b	V20	3
Adwyr ap Gwydion	Adwyr ap Gwydion	b	C20	2
aedile	Edil	b	V20	2
Age of Joy	Edad del Regocijo	b	C20	2
Aileron	Alerón	b	W20	2
Ameirin	Ameirin​	b	V20	2
Anne Bowesley	Anne Bowesley	b	V20	2
Antasian	Antasiano	b	VEO20	2
Antonian	Antoniano	b	VEO20	2
Apostate	Apóstata	b	C20	2
Archetype	Arquetipo	b	C20	2
Aristotle de Laurent	Aristotle de Laurent	b	V20	2
Arnulf Seamundsson	Arnulf Seamundsson	b	V20	2
Astral Umbra	Umbra Astral	b	H20	2
Augurs	Augures	b	W20	2
Autarkis	Autarca	b	V20	2
Avenging Mother	Madre Vengadora	b	H20	2
Axis Mundi	Axis Mundi	b	H20	2
Bai Qi	Bai Qi	b	VEO20	2
Beggar Lord	Señor Mendigo	b	W20	2
Black Cathedral	Catedral Negra	b	V20	2
Blasphemer	Blasfemo	b	V20	2
blood doll	marioneta de sangre	b	V20	2
Blood Nectar	Néctar de Sangre	b	VEO20	2
Blue Blood	Sangre Azul	b	V20	2
Brotherhood of Herne	Hermandad de Herne	b	H20	2
Byway	Derrotero	b	W20	2
Canaille	Canalla	b	V20	2
carbon copy	copia de carbón	b	M20	2
Caregiver	Protector	b	H20	2
Cassandra	Casandra	b	VEO20	2
Castigation	Castigar	b	W20	2
Celestial Chorus	Coro Celestial	b	M20	2
Cerement	Mortaja	b	W20	2
Children of Judas	Hijos de Judas	b	V20	2
Chimare	Quimara	b	H20	2
Circle of Red	Círculo del Rojo	b	V20	2
Cold Blood	Sangre Fría	b	V20	2
Copernicus Research Center	Centro de Investigación Copérnico	b	M20	2
Council of Nine Mystic Traditions	Concilio de las Nueve Tradiciones Místicas	b	M20	2
Crest of the Horn	Cúspide del Cuerno, la	b	H20	2
Criminal Guilds	Gremios Criminales	b	W20	2
Critic	Crítico	b	V20	2
Cuthbert Beckett	Cuthbert Beckett	b	V20	2
Damage Control	Control de Daños	b	M20	2
Dark Glamour	Glamour Tenebroso	b	C20	2
Darkwater	Aguas Oscuras	b	H20	2
Deep Dreaming	Ensueño Profundo	b	C20	2
Defiler Wyrm	Wyrm Profanador	b	H20	2
Derech Lilit	Derech Lilit	b	VEO20	2
Digital Web	Red Digital	b	M20	2
Domem	Dómem	b	W20	2
Dove	Paloma	b	H20	2
Dream Maker	Creador de Sueños	b	H20	2
dreamstuff	materia onírica	b	C20	2
Dylan Bruce	Dylan Bruce	b	V20	2
Ecaterina the Wise	Ecaterina la Sabia	b	V20	2
Edward Scott	Edward Scott	b	V20	2
Emerald Lord	Señor Esmeralda	b	W20	2
Empire of Skies	Imperio de los Cielos	b	C20	2
Entertainer	Comediante	b	M20	2
Epiphamy	Epifamia	b	M20	2
Erciyes Fragments	Fragmentos de Erciyes, los	b	V20	2
Euthanatos	Eutánatos	b	M20	2
Exarch	Exarca	b	M20	2
Fae Mien	Semblante Feérico	b	C20	2
Faerie Blood	Sangre Feérica	b	C20	2
feral chimera	quimera salvaje	b	C20	2
Fin Bheara	Fin Bheara	b	C20	2
Forbidden Guilds	Gremios Prohibidos	b	W20	2
Francisco Domingo de Polonia	Francisco Domingo de Polonia	b	V20	2
Fratres Plaga	Fratres Plaga	b	VEO20	2
Fu Hsi	Fu Hsi	b	C20	2
Gabriella of Genoa	Gabriela de Génova	b	VEO20	2
Galacian Confederation	Confederación Galaciana	b	C20	2
Gladius Dei	Gladius Dei	b	Cazador	2
Go Kamisori Gama	Go Kamisori Gama	b	M20	2
Grand Chancellor	Gran Canciller	b	V20	2
Grandma	Yaya	b	W20	2
Gravedigger	Sepulturero	b	V20	2
Grey Raptors	Rapaces Grises	b	H20	2
Griffin	Grifo	b	H20	2
Guarded Rubrics	Rúbricas Guardadas	b	V20	2
Gwenllian ferch Arwyn	Gwenllian ferch Arwyn	b	V20	2
Hand Without Sun	Mano Sin Sol	b	V20	2
Heng Po	Heng Po	b	C20	2
Home Turf	Patria	b	M20	2
House Beaumayn	Casa Beaumayn	b	C20	2
House Leanhaun	Casa Leanhaun	b	C20	2
Imminent Strike	Ataque Inminente	b	H20	2
Islands of Flint	Islas de Pedernal	b	W20	2
Jeremy MacNeil	Jeremy MacNeil	b	V20	2
Josef von Bauren	Josef von Bauren	b	V20	2
Judges of Doom	Jueces del Destino	b	H20	2
Just Cause	Causa Justa	b	C20	2
Kali Dahaka	Kali Dahaka	b	H20	2
Kingdom of Apples	Reino de las Manzanas	b	C20	2
Klaital Puk	Klaital Puk	b	H20	2
Laboratory	Laboratorio	b	M20	2
Laezar the Sleeper	Laezar el Durmiente	b	V20	2
Land of Ancient Dreams	Tierra de los Sueños Ancestrales	b	C20	2
Lapdog	Perro Faldero	b	C20	2
Laughing Lady	Dama Risueña	b	W20	2
Lazarenes	Lazarenos	b	V20	2
Lector Priest	sacerdote lector	b	V20	2
Leif Mikkelson	Leif Mikkelson	b	C20	2
Lextalionis	Lex Talionis	b	V20	2
Lifesight	Visión de Vida	b	W20	2
Lucius Sejanus	Lucius Sejanus	b	V20	2
Lux Veritatis	Lux Veritatis	b	W20	2
Malk Content	Malk Contento	b	V20	2
Maneaters	Devoradores de Hombres	b	H20	2
Mannikin	Manikí, pl. Manikís	b	C20	2
Marizhavashti Kali	Marizhavashti Kali	b	V20	2
Masters of the Seal	Maestros del Sello	b	H20	2
Michaelites	Miguelinos	b	V20	2
Midrealm	Entrerreino	b	M20	2
Mihai	Mihai​	b	V20	2
Mirror Lands	Tierras Espejo	b	H20	2
Monomacy	Monomacia	b	V20	2
Mortal Seeming	Aspecto Mortal	b	C20	2
Mount Qaf	Monte Qaf	b	M20	2
Movement of the Mind	Movimiento Mental	b	V20	2
Near Dreaming	Ensueño Próximo	b	C20	2
Olympias	Olimpia	b	V20	2
One Voice	Una Voz	b	H20	2
Order of Our Merciful Mother	Orden de la Madre Misericordiosa	b	H20	2
Ossian	Ossian​	b	V20	2
Owain ap Ieuan	Owain ap Ieuan	b	V20	2
Phantasmi	Fantasmi	b	H20	2
Phoebe	Febe	b	H20	2
Pontifex Maximus	Pontifex Maximus	b	M20	2
Porcupine	Puercoespín	b	H20	2
Primordials	Primordiales	b	W20	2
Puppetmaster	Titiritero	b	C20	2
Qlippoth	Qlifot	b	M20	2
Quiet Lord	Señor Silente	b	W20	2
Radu Bistri	Radu Bistri	b	V20	2
Rake	Libertino	b	C20	2
Renegade Lord	Señor Renegado	b	W20	2
Renunciation	Renuncia	b	V20	2
Rot Walker	Caminante de la Podredumbre	b	H20	2
Sea of Souls	Mar de las Ánimas	b	W20	2
Seas of Dream	Mares de Sueño	b	C20	2
Seelie Code	Código Luminoso	b	C20	2
Shining One	Resplandeciente	b	W20	2
Songlines	Líneas de Canción	b	H20	2
Sorcerer Quietus	Extinción de los Hechiceros	b	V20	2
Sounder	piara	b	H20	2
Spirit Being	Ser Espiritual	b	C20	2
Stephen of Kent	Stephen de Kent	b	VEO20	2
Stream of the Folk	Corriente del Pueblo	b	H20	2
Stream of the Philosophers	Corriente de los Filósofos	b	H20	2
Stripling	Niño Perdido	b	W20	2
Sword of Dracula	Espada de Drácula	b	V20	2
Synod	Sínodo	b	V20	2
Tanner	Tanner​	b	V20	2
Technocratic Union	Unión Tecnocrática	b	M20	2
Tithe of the Dead	Diezmo de los Muertos	b	W20	2
Titus Venturus Camillus	Titus Venturus Camillus	b	VEO20	2
True Sabbat	Verdadero Sabbat	b	V20	2
Tuathan	Tuathano	b	C20	2
Twisted Oak	Roble Retorcido	b	C20	2
urban legend	leyenda urbana	b	C20	2
Via Desideratio	Via Desideratio	b	VEO20	2
Via Geniorum	Via Geniorum	b	V20	2
Via Hyron	Via Hyron	b	VEO20	2
Vizier Quietus	Extinción de los Visires	b	V20	2
War of Heaven	Guerra del Cielo	b	V20	2
Warren	madriguera	b	V20	2
Warrior Quietus	Extinción de los Guerreros	b	V20	2
Weeping Bay	Bahía Llorosa	b	W20	2
Well of Life	Fuente de la Vida	b	H20	2
Wilder	Rebelde	b	C20	2
Wise One	Sabio	b	C20	2
Working Guilds	Gremios Trabajadores	b	W20	2
Xi Wang Chi	Xi Wang Chi	b	H20	2
Zara Slatikov	Zara Slatikov	b	V20	2
Abu Nijad	Abu Nijad	b	V20	1
Aesthete	Esteta	b	VEO20	1
Aethera Inamorata	Aethera Inamorata	b	H20	1
Aetherial Reaches	Límites Etéreos	b	H20	1
Age of Beautiful Sadness	Edad de la Hermosa Aflicción	b	C20	1
Age of Beauty	Edad de la Belleza	b	C20	1
Age of Dawning	Edad del Amanecer	b	H20	1
Age of Perfection	Edad de la Perfección	b	C20	1
Age of Sorrows	Edad del Pesar	b	C20	1
Age of Tribulation	Edad de la Tribulación	b	C20	1
Aisling Sturbridge	Aisling Sturbridge​	b	V20	1
Akashic Brotherhood	Hermandad Akáshica	b	M20	1
Akashic Record	Registro Akáshico	b	M20	1
Albert Dunsirn	Albert Dunsirn	b	V20	1
Albertus Magnus	Alberto Magno	b	V20	1
Alex Swift	Alex Swift	b	V20	1
Alfred Benezri	Alfred Benezri	b	V20	1
Aludian Thex	Aludian Thex	b	H20	1
Alvarez	Álvarez	b	C20	1
Anarch Free State	Estado Libre Anarquista	b	V20	1
Anastasz di Zagreb	Anastasz di Zagreb	b	V20	1
Angel of Caine	Ángel de Caín	b	V20	1
Animal Kinship	Afinidad Animal	b	M20	1
Antonio Calbullarshi	Antonio Calbullarshi​	b	V20	1
Antonius the Gaul	Antonius el Galo	b	V20	1
Anya Dyomin	Anya Dyomin	b	V20	1
Arete	Areté	b	M20	1
Armando Rodriguez	Armando Rodríguez	b	V20	1
Ascension War	Guerra de la Ascensión	b	M20	1
ashen priest	Sacerdote de Cenizas	b	VEO20	1
Atilia Priscian	Atilia Priscian	b	VEO20	1
auctoritas ritae	Auctoritas Ritae	b	V20	1
Autocrat	Autócrata	b	V20	1
Avatar Storm	Tormenta de Avatares	b	M20	1
Azi Dahaka	Azi Dahaka	b	V20	1
Badr Alkhaiwani	Badr Alkhaiwani	b	V20	1
beastmaster	señor de las bestias	b	W20	1
Bethany of Ely	Bethany de Ely	b	V20	1
Biological Warfare	Biological Warfare	b	H20	1
Blood Feast	Banquete de Sangre	b	V20	1
Blood Lust	Ansia de Sangre	b	H20	1
Blood Memory	Memoria de Sangre	b	H20	1
blood point	punto de Sangre	b	V20	1
Brethren of Sincerity	Hermanos de la Sinceridad	b	V20	1
Brotherhood of the Black Rabbit	Hermandad del Conejo Negro	b	W20	1
Cabalists	Cabalistas	b	W20	1
Cagn Who Wrestles the Sun	Cagn que Combate al Sol	b	VEO20	1
Calebros	Calebros​	b	V20	1
Camilla Banes	Camilla Banes	b	V20	1
Carrion Bird	Pájaro Carroñero	b	H20	1
Catherine Maidstone	Catherine Maidstone	b	V20	1
Cenacle	cenáculo	b	Cazador	1
chapterhouse	Casa Capitular	b	Cazador	1
Charles Delmare	Charles Delmare	b	V20	1
Cherubim	Querubín	b	V20	1
Child of Haqim	Hijo de Haqim	b	VEO20	1
Children of Crow	Hijos de Cuervo	b	H20	1
Children of Dire	Hijos de Lobo Terrible	b	H20	1
Chimerling	Quimerlino	b	H20	1
Chorister	Corista	b	M20	1
Chorus of Faces	Coro de Rostros	b	W20	1
Chulorviah Elder	Anciano Chulorviah	b	H20	1
Church of the Black Magdalene	Iglesia de la Magdalena Negra	b	V20	1
Circuit Riders	Itinerantes	b	W20	1
Cock Robin	Cock Robin	b	V20	1
Codex of the Damned	Código de los condenados, el	b	V20	1
Collegium Praecepti	Collegium Praecepti	b	M20	1
communal haven	Refugio Comunal	b	V20	1
Corpus Hermeticum	Corpus Hermeticum	b	M20	1
Council of Elders	Consejo de Ancianos	b	H20	1
Country Gangrel	Gangrel Rural	b	V20	1
Cult of Ecstasy	Culto del Éxtasis	b	M20	1
dark fae	hada tenebrosa	b	C20	1
Dark Kingdom of Clay	Reino Oscuro de Arcilla	b	W20	1
Dark Kingdom of Iron	Reino Oscuro de Hierro	b	W20	1
Dark Kingdom of Ivory	Reino Oscuro de Marfil	b	W20	1
Dark Kingdom of Obsidian	Reino Oscuro de Obsidiana	b	W20	1
Dark Medieval World	Oscura Edad Media	b	VEO20	1
Dark Star	Estrella Oscura	b	C20	1
David Ardry	David Ardry	b	C20	1
Deep Universe	Universo Profundo	b	M20	1
diocese	Diócesis	b	V20	1
Divinity Within	Divinidad Interior	b	VEO20	1
Dobrul the Brave	Dobrul el Bravo	b	V20	1
Dominique Touraine	Dominique Touraine	b	V20	1
Donya Tehreni	Donya Tehreni	b	V20	1
Dreams of Angra Mainyu	sueños de Angra Mainyu, Los	b	V20	1
Ears of Gaia	Oídos de Gaia	b	H20	1
Elaiodora Sophida	Elaiodora Sophida	b	VEO20	1
Eleusinian	Eleusino	b	M20	1
Empowerment	Empoderamiento	b	M20	1
Endless Storm	Tormenta Interminable	b	H20	1
Enfant	Infante	b	W20	1
Erik Kuster	Erik Kuster	b	V20	1
Etherite	Eterita	b	M20	1
Ethic of Succor	Ética de Socorro	b	V20	1
Ex Miscellanea	Ex Miscellanea	b	M20	1
experience point	punto de Experiencia	b	C20	1
Explorator	Explorador	b	M20	1
Fighting Jaws	Mandíbulas Luchadoras	b	H20	1
Freehold of Heartsong	Feudo de la Canción del Corazón	b	C20	1
Friends of the Night	Amigos de la Noche	b	V20	1
Gargoyle Revolt	Revuelta de las Gárgolas	b	V20	1
Geoffrey Leigh	Geoffrey Leigh	b	V20	1
Glass Walkers	Moradores del Cristal	b	H20	1
Gospel of Menahem	Evangelio de Menahem	b	V20	1
Gospel of the Consoler	Evangelio del Consolador	b	V20	1
Grand Undying King	Gran Rey Inmortal	b	VEO20	1
Gray Gangs	Bandas Grises	b	W20	1
Great Sun	Gran Sol	b	W20	1
Grotesques	Grotescos	b	W20	1
Gwydion the Gray	Gwydion el Gris	b	C20	1
Hadean Symphony	Sinfonía Hádica	b	W20	1
Hard Corps	Cuerpos Duros	b	W20	1
Heart Collector	Coleccionista de Corazones	b	C20	1
Heartblood	Sangre del Corazón	b	V20	1
hedge wizard	mago estático	b	M20	1
Hellene Panhard	Hellene Panhard	b	V20	1
hellhound	sabueso infernal	b	C20	1
Hermes Trismegistus	Hermes Trismegisto	b	M20	1
Hidden Heart	Corazón Escondido	b	C20	1
Hierarch	Jerarca	b	W20	1
Hierarchy of Sins	Jerarquía de Pecados	b	V20	1
Holy Vision	Visión Sagrada	b	M20	1
Homer	Homero	b	W20	1
House Austere Howl	Casa del Aullido Austero	b	H20	1
House Fiona	Casa Fiona	b	C20	1
House Liam	Casa Liam	b	C20	1
House Shango	Casa Shango	b	C20	1
Inner Umbra	Umbra Interna	b	M20	1
Investigator	Investigador	b	M20	1
Iron Road	Camino de Hierro	b	C20	1
Isaac Goldwin	Isaac Goldwin	b	V20	1
Jan Pieterzoon	Jan Pieterzoon	b	V20	1
Jenna Cross	Jenna Cross	b	V20	1
John Dee	John Dee	b	V20	1
Joseph Pander	Joseph Pander	b	V20	1
Josselin the Blessed	Josselin el Bendito	b	VEO20	1
Jovian	Joviano	b	V20	1
Julian Sanders	Julian Sanders	b	V20	1
Justin Stone	Justin Stone	b	V20	1
Karai Pyhare	Karai Pyhare	b	V20	1
Karen Anatos	Karen Anatos	b	V20	1
Kasim Bayar	Kasim Bayar	b	V20	1
Katherine of Montpellier	Katherine of Montpellier	b	V20	1
Kevin Jackson	Kevin Jackson	b	V20	1
Kingdom of Dalarna	Reino de Dalarna	b	C20	1
Kingdom of Grass	Reino de la Hierba	b	C20	1
Kingdom of Pacifica	Reino de Pacífica	b	C20	1
Kingdom of the Burning Sun	Reino del Ardiente Sol	b	C20	1
Kingdom of Willows	Reino de los Sauces	b	C20	1
Ladies of Fate	Damas del Destino	b	W20	1
Leander Phipps	Leander Phipps	b	V20	1
Leandro Fuentes	Leandro Fuentes	b	VEO20	1
Legacy of Ashes	Legado de Cenizas	b	VEO20	1
Legion of Revelations	Legión de las Revelaciones	b	W20	1
Legion of the Onyx Tear	Legión de la Lágrima de Ónice	b	W20	1
Lenore Braundice	Lenore Braundice	b	V20	1
Leopold Valdemar	Leopold Valdemar	b	V20	1
life boon	favor vital	b	V20	1
Lords of the Summit	Señores de la Cúspide	b	H20	1
Lu Lung	Lu Lung	b	H20	1
Lune	Lúnula	b	H20	1
Maelstrom Prediction and Preparation Unit	Unidad de Predicción y Prevención de Maelstroms	b	W20	1
Maiselle of Rochester	Maiselle de Rochester	b	V20	1
major boon	favor mayor	b	V20	1
Mama Lion	Mamá León	b	V20	1
Mandragora	Mandrágora	b	C20	1
Manfred Bauer	Manfred Bauer	b	V20	1
Mannikins	Manikís	b	C20	1
Margause Devereaux	Margause Devereaux	b	V20	1
Mark Decker	Mark Decker	b	V20	1
Master Alchemist	Maestro Alquimista	b	M20	1
Master of Challenges	Maestro de Desafíos	b	H20	1
Master of Ravens	Maestro de Cuervos	b	V20	1
Master of the Rite	Maestro del Rito	b	H20	1
Mateusz Gryzbowsky	Mateusz Gryzbowsky	b	V20	1
Matthias of Bath	Matthias de Bath	b	V20	1
Maxwell Ldescu	Maxwell Ldescu​	b	V20	1
Melitta Wallenberg	Melitta Wallenberg​	b	V20	1
Meryasek ap Ninmug	Meryasek ap Ninmug	b	VEO20	1
Middle Brother	Hermano Mediano	b	H20	1
Midnight Queen	Reina de la Medianoche	b	V20	1
minor boon	favor menor	b	V20	1
Mistress Fanchon	Mistress Fanchon	b	V20	1
Modernist	Modernista	b	C20	1
Moon Path	Senda Lunar	b	H20	1
Mythic Realm	Reino Mítico	b	M20	1
Nereid	Nereida	b	C20	1
Nicolai Antonescu	Nicolai Antonescu	b	V20	1
Night Terrors	Terrores Nocturnos	b	W20	1
Nikolai Miloradov	Nikolai Miloradov	b	V20	1
Nils Molander	Nils Molander	b	C20	1
Norns	Nornas	b	C20	1
North Wind	Viento del Norte	b	H5	1
Oath of the Dragon	Juramento del Dragón	b	C20	1
Octavius Malachi	Octavius Malachi	b	VEO20	1
Oliver Thrace	Oliver Thrace	b	V20	1
Order of Saint Joan	Orden de Santa Juana	b	V20	1
Order of Shining Blood	Orden de la Sangre Resplandeciente	b	VEO20	1
Ordinis Denarii	Ordinis Denarii	b	W20	1
Ordinis Oxidato	Ordinis Oxidato	b	W20	1
Ordinis Silicium	Ordinis Silicium	b	W20	1
Ordinis Velum	Ordinis Velum	b	W20	1
Pakourianis the Dove	Pakourianis la Paloma	b	VEO20	1
Paradox Realm	Reino de la Paradoja	b	M20	1
parent Clan	Clan de origen	b	V20	1
Path of the Focused Mind	Senda de la Mente Centrada	b	V20	1
Patron Spirit	espíritu patrón	b	H5	1
Pattern Web	Urdimbre	b	H20	1
Pei Tung	Pei Tung	b	H20	1
Perfectionist	Perfeccionista	b	H20	1
Primal Urge	Impulso Primario	b	H20	1
Professional Skill	Técnica Profesional	b	C20	1
Psychic Numina	Númina Psíquicos	b	V20	1
Queen Ananasa	reina Ananasa	b	H20	1
Questing	Buscadora	b	M20	1
Rainmaker	Creador de Lluvia	b	C20	1
rat pack	manada de ratas	b	H20	1
Raymond Narcisse	Raymond Narcisse	b	V20	1
reality zones	zona de realidad	b	M20	1
Red Alastor	Alastor Rojo	b	V20	1
Red Solomon	Salomón el Rojo	b	V20	1
Revelations of the Dark Mother	Revelaciones de la Madre Oscura	b	V20	1
River Hag	Bruja de Río	b	C20	1
Rock Giant	Gigante de Roca	b	C20	1
Roger de Camden	Roger de Camden	b	V20	1
Round Back	Espalda Redonda	b	H20	1
Sacred Secret	Secreto Sagrado	b	H20	1
Sai Chau	Sai Chau	b	H20	1
Salamander	Salamandra	b	C20	1
Salvador Garcia	Salvador García	b	V20	1
Sanguine Chorus	Coro Sanguíneo	b	W20	1
School of Beguilement	Escuela del Engaño	b	W20	1
School of Dreamaturgy	Escuela de la Oniroturgia	b	W20	1
School of Guignol	Escuela del Guiñol	b	W20	1
School of Meditation	Escuela de la Meditación	b	W20	1
Scryer	Adivinador	b	H20	1
Sense the Unnatural	Sentir lo Antinatural	b	Cazador	1
Sept of the Blood Fist	clan del Puño Sangriento	b	H5	1
Shallowing	Adelgazamiento	b	M20	1
Shattered Hart	Ciervo Quebrado	b	H20	1
silver cord	hilo de plata	b	W20	1
Simon Aylard	Simon Aylard	b	VEO20	1
Simon Blackwood	Simon Blackwood	b	VEO20	1
simple action	acción sencilla	b	C20	1
Sisterhood of the Erinyes	Hermandad de las Erinias	b	V20	1
Small Council	Pequeño Concejo	b	C20	1
Society of Nidhogg	Sociedad de Nidhogg	b	H20	1
Society of Saint George	Sociedad de San Jorge	b	V20	1
Songs of Shadow	Canciones de Sombra	b	H20	1
Spear of Bathel	Lanza de Bathel	b	V20	1
Spirit Beings	Seres Espirituales	b	C20	1
Spirit Sight	Vista Espiritual	b	H20	1
Spoke of Aries	Radio de Aries	b	W20	1
Spoke of Capricorn	Radio de Capricornio	b	W20	1
Spoke of Leo	Radio de Leo	b	W20	1
Spoke of Pisces	Radio de Piscis	b	W20	1
Spoke of Taurus	Radio de Tauro	b	W20	1
Standing Jaws	Mandíbulas Erguidas	b	H20	1
Stanford Warwick	Stanford Warwick	b	V20	1
Storm Maidens	Doncellas de la Tormenta	b	W20	1
Storm of Night	Tormenta Nocturna	b	W20	1
Stream of the Fighters	Corriente de los Luchadores	b	H20	1
Swan Maiden	Doncella Cisne	b	C20	1
Swan maidens	Doncellas Cisne	b	C20	1
Swimming Jaws	Mandíbulas Nadadoras	b	H20	1
Three Daughters	Tres Hijas	b	H20	1
Thunderwyrm	Wyrm del Trueno	b	H20	1
Ti Yu	Ti Yu	b	W20	1
total failure	fallo total	b	Cazador	1
Trance Runners	Corredores del Trance	b	H20	1
Triatic Wyrm	Wyrm Triádico	b	H20	1
Tribal Homeland	Patria Tribal	b	H20	1
Triumph Casque of Sorrows	Triunfante Casco de los Pesares	b	C20	1
Trophy Clan	Clan Trofeo	b	V20	1
Tung Chun	Tung Chun	b	H20	1
Ubar Chronicles	Crónicas de Ubar	b	V20	1
Unifier	Unificador	b	V20	1
Unseelie Code	Código Oscuro	b	C20	1
Valerius Maior	Valerius Maior	b	V20	1
Varrick	Varrick​	b	V20	1
Vesal Sahbazi	Vesal Sahbazi	b	VEO20	1
Vidal Jarbeaux	Vidal Jarbeaux	b	V20	1
Vincent Day	Vincent Day	b	V20	1
Viscus	Entrañas	b	V20	1
Wall of Skulls	Muro de Cráneos	b	W20	1
Warders of the Land	Custodios de la Tierra	b	H20	1
Whispering Rovers	Vagabundos Susurrantes	b	H20	1
Wilhelm Waldburg	Wilhelm Waldburg	b	V20	1
Wise Heart	Corazón Sabio	b	M20	1
Witch Hunt	Caza de Brujas	b	H20	1
World of Shadow	Mundo de Sombras	b	H20	1
Wu Lung	Wu Lung	b	M20	1
